,0,1
920,purple,14
921,expression,10
922,waddaya,1
923,doin,1
924,abruptly,1
925,smack,3
926,inside,7
927,waving,4
928,struggling,2
929,scrambling,1
930,laughed,19
931,kerb,2
932,handed,10
933,bill,11
934,driver,7
935,great,26
936,honking,1
937,yelling,5
938,row,7
939,wedding,4
940,bridesmaids,1
941,frankie,12
942,group,10
943,short,21
944,scrunty,1
945,fellow,8
946,detached,1
947,himself,12
948,type,2
949,stand,15
950,five,23
951,feet,43
952,ten,19
953,stocking,4
954,am,26
955,stoop,1
956,bit,23
957,slouch,1
958,hips,2
959,shorter,1
960,gawky,2
961,morbid,2
962,side-show,1
963,minute,50
964,wild,3
965,hope,8
966,might,72
967,pair,2
968,according,1
969,which,54
970,line,6
971,spoken,4
972,cleared,6
973,six,13
974,second,23
975,pretend,6
976,dogging,1
977,elbow,7
978,close,9
979,dark,39
980,hardly,5
981,silver,29
982,reflected,1
983,neons,1
984,melting,3
985,shadows,5
986,negative,1
987,seen,19
988,large,20
989,old-fashioned,2
990,ordering,2
991,floored,1
992,whisky,1
993,gin,2
994,taste,4
995,boys,14
996,usually,8
997,too,57
998,liquor,2
999,scorned,1
1000,altogether,1
1001,amazing,4
1002,many,18
1003,drink,15
1004,farthest,2
1005,bottle,13
1006,dubonnet,3
1007,prove,3
1008,æsthetic,1
1009,medical,10
1010,student,11
1011,vodka,7
1012,closely,5
1013,plain,8
1014,fool,2
1015,saying,29
1016,ice,3
1017,soda,1
1018,ad,2
1019,glass,29
1020,full,46
1021,snowdrift,3
1022,light,40
1023,clear,14
1024,pure,20
1025,finding,3
1026,tasted,7
1027,wonderful,12
1028,waiter,2
1029,ordered,5
1030,home,46
1031,citified,1
1032,ranch,2
1033,outfit,2
1034,word,19
1035,toyed,3
1036,cork,2
1037,place-mat,1
1038,eventually,2
1039,stare,4
1040,macaw,1
1041,zoo,3
1042,human,3
1043,arrived,5
1044,mine,15
1045,silence,15
1046,shooting,3
1047,sides,6
1048,thick,22
1049,jungle,1
1050,grass,6
1051,effort,4
1052,dragged,14
1053,shoulder,18
1054,disc,2
1055,jockey,1
1056,prob'ly,1
1057,lenny,37
1058,shepherd,6
1059,glad,9
1060,honey,3
1061,handy,1
1062,jerk,1
1063,slid,11
1064,hand,57
1065,bare,12
1066,arm,21
1067,squeeze,2
1068,surprised,13
1069,noticed,13
1070,dusky,1
1071,bleached,1
1072,negress,1
1073,sipped,2
1074,daintily,1
1075,elly,25
1076,higginbottom,4
1077,chicago,10
1078,safer,1
1079,associated,2
1080,boston,17
1081,dance,11
1082,dancing,3
1083,runt,1
1084,orange,9
1085,suede,1
1086,elevator,6
1087,mingy,1
1088,t-shirt,1
1089,droopy,2
1090,sports,2
1091,coat,9
1092,laugh,11
1093,grey,30
1094,mood,1
1095,coldly,3
1096,turning,5
1097,hitching,2
1098,chair,25
1099,nearer,2
1100,spooning,2
1101,hunks,1
1102,fruit,9
1103,spindly,2
1104,spoon,4
1105,grunting,1
1106,lifted,19
1107,snapping,1
1108,pretending,8
1109,dog,3
1110,giggled,7
1111,began,35
1112,stomach,17
1113,sword-swallower,1
1114,sword,1
1115,powerful,2
1116,god-like,1
1117,better,42
1118,clearly,3
1119,dim,10
1120,high,15
1121,nobody,26
1122,notice,9
1123,owe,2
1124,reminding,1
1125,owed,1
1126,perfect,9
1127,strangers,2
1128,stood,32
1129,until,41
1130,dug,5
1131,pocket,8
1132,pulled,19
1133,roll,7
1134,bills,2
1135,peeled,4
1136,scram,1
1137,unless,4
1138,comes,2
1139,picked,18
1140,giving,5
1141,wink,2
1142,wilted,2
1143,looking,17
1144,crucial,2
1145,situations,1
1146,road,7
1147,accident,4
1148,fight,2
1149,pickled,1
1150,laboratory,2
1151,jar,7
1152,stop,16
1153,forgot,3
1154,certainly,3
1155,learned,8
1156,pretended,9
1157,missed,3
1158,built,5
1159,exactly,10
1160,apartment,7
1161,few,42
1162,partitions,1
1163,knocked,9
1164,broaden,1
1165,pine-panel,1
1166,walls,16
1167,fit,3
1168,special,10
1169,pine-panelled,2
1170,shape,8
1171,horseshoe,1
1172,bearskins,1
1173,lay,34
1174,underfoot,3
1175,furniture,3
1176,beds,6
1177,covered,10
1178,indian,3
1179,rugs,2
1180,instead,26
1181,pictures,3
1182,hung,20
1183,antlers,1
1184,buffalo,1
1185,horns,3
1186,stuffed,12
1187,rabbit,2
1188,jutted,1
1189,thumb,6
1190,meek,1
1191,muzzle,1
1192,stiff,9
1193,jackrabbit,1
1194,ears,10
1195,ran,17
1196,las,1
1197,vegas,1
1198,walked,26
1199,across,27
1200,room,97
1201,echoing,1
1202,pistol,1
1203,shots,1
1204,acoustics,1
1205,grew,18
1206,smaller,10
1207,vanished,3
1208,distance,27
1209,music,14
1210,air,29
1211,o'clock,10
1212,jock,1
1213,round-up,1
1214,pops,1
1215,number,13
1216,wagon,4
1217,train,5
1218,none,5
1219,yaller-haired,1
1220,gal,2
1221,hearin,1
1222,lately,4
1223,sunflower,3
1224,born,9
1225,bred,1
1226,marry,18
1227,wed,1
1228,card,9
1229,listen,5
1230,favour,1
1231,stick,5
1232,will,38
1233,muscle,2
1234,popped,7
1235,twenty,6
1236,grand,3
1237,worth,2
1238,recording,1
1239,equipment,1
1240,ambled,1
1241,glasses,7
1242,ice-bucket,1
1243,pitcher,3
1244,mix,1
1245,different,13
1246,bottles,2
1247,true-blue,1
1248,promised,7
1249,wait,12
1250,state,11
1251,huh,3
1252,balancing,2
1253,drops,7
1254,sweat,4
1255,ice-cubes,1
1256,jingled,1
1257,passed,12
1258,twanged,1
1259,lenny's,2
1260,announcing,2
1261,listening,9
1262,yourself,7
1263,talk,17
1264,lingered,3
1265,vamoosed,1
1266,ought,12
1267,call,9
1268,fellers,1
1269,sizes,3
1270,larger,7
1271,relieved,4
1272,friend,15
1273,honeybun,1
1274,held,18
1275,without,28
1276,jitterbug,1
1277,cross-legged,3
1278,devout,1
1279,impassive,1
1280,businessmen,1
1281,watching,9
1282,algerian,1
1283,belly-dancer,1
1284,against,24
1285,wall,22
1286,bearskin,2
1287,wet,5
1288,depressing,2
1289,took,50
1290,sip,4
1291,dead,31
1292,painted,4
1293,lasso,2
1294,polka,1
1295,dots,3
1296,drank,5
1297,inch,3
1298,waited,25
1299,take,49
1300,lasso-level,1
1301,ghost,1
1302,boomed,3
1303,wye,2
1304,leave,10
1305,wyoming,1
1306,jitterbugging,1
1307,during,12
1308,intervals,3
1309,shrinking,2
1310,small,41
1311,dot,1
1312,pine-panelling,2
1313,hole,9
1314,ground,8
1315,demoralizing,1
1316,crazy,17
1317,especially,5
1318,extra,2
1319,paris,2
1320,express,2
1321,caboose,1
1322,heading,1
1323,opposite,11
1324,getting,22
1325,lonelier,3
1326,rushing,3
1327,excitement,2
1328,million,6
1329,miles,9
1330,often,13
1331,bang,2
1332,kiss,5
1333,swing,1
1334,lie,17
1335,sleep,31
1336,ready,11
1337,roar,1
1338,earlobe,1
1339,teeth,18
1340,leggo,1
1341,bitch,1
1342,stooped,2
1343,sailed,1
1344,arc,1
1345,fetched,1
1346,tinkle,1
1347,roaring,1
1348,whirling,1
1349,fast,5
1350,routine,1
1351,breasts,4
1352,swinging,5
1353,melons,1
1354,circled,2
1355,belly-down,1
1356,thrashing,1
1357,legs,11
1358,screeching,1
1359,slow,9
1360,bite,8
1361,hip,3
1362,skirt,16
1363,downstairs,10
1364,leaning,7
1365,hands,39
1366,banister,1
1367,sliding,1
1368,realize,2
1369,air-conditioned,2
1370,pavement,1
1371,tropical,4
1372,stale,1
1373,heat,5
1374,sidewalks,2
1375,sucking,1
1376,hit,4
1377,insult,2
1378,entertained,1
1379,taking,16
1380,decided,25
1381,ending,2
1382,barn,1
1383,ballroom,4
1384,strewn,1
1385,confetti,1
1386,cigarette-butts,1
1387,crumpled,3
1388,cocktail,2
1389,napkins,3
1390,nearest,5
1391,brushing,1
1392,buildings,8
1393,steady,1
1394,sign,2
1395,map,3
1396,forty-three,1
1397,blocks,4
1398,walking,5
1399,has,7
1400,fazed,1
1401,counting,3
1402,lobby,3
1403,sober,1
1404,swollen,2
1405,fault,5
1406,bothered,6
1407,clerk,2
1408,dozing,1
1409,booth,6
1410,among,18
1411,key-rings,1
1412,silent,4
1413,telephones,1
1414,self-service,1
1415,pushed,15
1416,button,2
1417,doors,13
1418,folded,13
1419,noiseless,1
1420,accordion,1
1421,smudgy-eyed,1
1422,chinese,3
1423,woman,94
1424,idiotically,1
1425,course,64
1426,appalled,1
1427,wrinkled,1
1428,used-up,1
1429,soul,2
1430,materialized,1
1431,thin,12
1432,judgement,1
1433,remembered,20
1434,doreen's,2
1435,vent,1
1436,windows,11
1437,fixed,7
1438,lean,4
1439,reason,16
1440,laying,3
1441,cheek,8
1442,woodwork,2
1443,downtown,3
1444,un,10
1445,balanced,2
1446,itself,25
1447,weird,2
1448,martian,2
1449,honeycomb,1
1450,drive,10
1451,bridges,3
1452,whose,4
1453,names,10
1454,depressed,5
1455,making,12
1456,noise,12
1457,river,5
1458,flat,16
1459,poster,1
1460,glittering,5
1461,blinking,3
1462,china-white,1
1463,telephone,7
1464,connected,1
1465,death,16
1466,given,14
1467,phone,14
1468,list,5
1469,possible,4
1470,calls,2
